T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
?,TehVenom/DiffMerge_Pygmalion_Main-onto-V8P4,38.31,40.53,67.48,25.68,32.55,62.51,1.14,,GPTJForCausalLM,Original,float16,False,,0.0,1.0,False,f855780745aa34c3bdbe020e4c51253d538cb21e,False,False
🔶,acrastt/OmegLLaMA-3B,38.28,40.36,66.13,28.0,33.31,61.64,0.23,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,3.43,6.0,True,520c5f1ceb5c90d4011887e2a8d3becf15e7e66e,False,False
🟢,openlm-research/open_llama_3b,38.26,39.85,62.65,26.94,34.97,64.72,0.45,pretrained,LlamaForCausalLM,Original,float16,False,apache-2.0,3.0,141.0,True,141067009124b9c0aea62c76b3eb952174864057,False,False
🟢,aihub-app/zyte-1B,38.23,37.88,61.37,24.61,42.14,61.96,1.44,pretrained,LlamaForCausalLM,Original,float16,False,?,1.1,0.0,False,6c2b31ee038f8df37547c013d73b91c4a07e41a5,False,False
🔶,xaviviro/FLOR-6.3B-xat,38.23,38.65,63.76,26.54,37.96,62.43,0.0,fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,False,apache-2.0,6.25,0.0,True,edd1cbf53f584c6bc7b38a31a0b7beed8e942e8f,False,False
🔶,aihub-app/zyte-1.1B,38.22,37.88,61.37,24.62,42.15,61.96,1.36,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,?,1.1,0.0,False,4537b28d9b2e9958c53b6d4aa6e16f46f85c1867,False,False
🔶,venkycs/zyte-v1-1.1B,38.21,37.29,61.41,24.6,42.59,62.04,1.36,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,?,1.1,0.0,False,b75c703a236c6f0394f7f8641c4ecee016c2e43f,False,False
🔶,ewof/koishi-instruct-3b,38.16,40.96,64.54,26.58,31.65,64.09,1.14,fine-tuned on domain-specific datasets,GPTNeoXForCausalLM,Original,float16,False,,2.91,3.0,False,2bb7f3842398b048efa4ae2d1aafb9e2f18a8586,False,False
🔶,Abhaykoul/Qwen1.5-0.5B-vortex,38.15,31.74,47.78,38.44,38.92,56.51,15.54,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,0.46,1.0,True,dd2364092537b736e87bafb4b2fd65ea460beb32,False,False
🔶,RESMPDEV/Qwen1.5-Wukong-0.5B,38.15,31.74,47.78,38.44,38.92,56.51,15.54,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,0.46,4.0,True,cb46afdc603e018e2ec4a672769b0e8a473aa88b,False,False
🔶,Abhaykoul/qwen1.5-vortex,38.15,31.74,47.78,38.44,38.92,56.51,15.54,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,0.46,0.0,False,52cd90c24411e9474a32c70e78b549e98108206e,False,False
🔶,lqtrung1998/galactica-6.7b-ReFT-GSM8k,38.15,40.7,50.34,37.62,41.21,58.33,0.68,fine-tuned on domain-specific datasets,OPTForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,6.7,0.0,True,db019ea6f2762330d09f28bca53a5ecee8e2819a,False,False
🔶,Abhaykoul/qwen1.5-vortex,38.13,31.83,47.71,38.66,38.98,56.27,15.31,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,float16,False,other,0.46,0.0,False,52cd90c24411e9474a32c70e78b549e98108206e,False,False
🔶,aloobun/d-Qwen1.5-0.5B,38.07,30.29,47.75,38.21,39.29,55.8,17.06,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,0.46,6.0,True,c845a4ca140e3abfb58793731c4addd4533102b3,False,False
🟢,EleutherAI/pythia-6.7b,38.06,40.1,65.0,24.64,32.85,64.72,1.06,pretrained,Unknown,Original,float16,False,?,6.65,0.0,False,b666a6e46eeade607c73ed1334ecda3b9345e4bf,False,False
🔶,saberai/Zro1.5_3B,38.02,35.92,61.11,25.55,36.89,58.72,9.93,fine-tuned on domain-specific datasets,GPTNeoXForCausalLM,Original,float16,False,apache-2.0,2.78,1.0,True,434e3ac9bb300779d677486d5e04d774fc514169,False,False
🟢,RWKV/rwkv-4-7b-pile,37.95,39.68,66.31,24.96,33.65,62.35,0.76,pretrained,RwkvForCausalLM,Original,float16,False,,7.0,0.0,False,922e22a761427e50d7be457b31a76b1126021b8b,False,False
🟢,indischepartij/TinyUltra-4x1.1B-Base-Alpha,37.94,34.9,61.42,25.42,37.59,65.75,2.58,pretrained,MixtralForCausalLM,Original,float16,True,cc-by-nc-4.0,3.38,0.0,True,c705462832bc69b3ab71cf6e5ebc46388b4145a6,False,True
🤝,gmonsoon/TinyUltra-4x1.1B-Base-Alpha,37.94,34.9,61.42,25.42,37.59,65.75,2.58,base merges and moerges,MixtralForCausalLM,Original,float16,False,apache-2.0,3.38,0.0,False,c705462832bc69b3ab71cf6e5ebc46388b4145a6,False,False
🔶,Josephgflowers/Tinyllama-Cinder-1.3B-Reason-Test,37.88,34.56,58.24,25.79,39.93,63.93,4.85,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,mit,1.28,2.0,True,c7f891765a4d43ac972302a24ed67158cec8dc18,False,False
🔶,KnutJaegersberg/Galactica-6.7B-EssayWriter,37.75,40.1,50.29,33.88,40.27,58.48,3.49,fine-tuned on domain-specific datasets,OPTForCausalLM,Original,float16,False,cc-by-nc-4.0,6.66,3.0,True,ac74fdd938de1ffd34832d66a25db20b0230983e,False,False
🟢,Devio/test-22B,37.71,39.42,64.51,27.13,37.13,57.7,0.38,pretrained,LlamaForCausalLM,Original,bfloat16,False,,21.83,0.0,False,cd72f5954ab5801dd2c1b499e59265f7504f9ee6,False,False
💬,maywell/TinyLlama-MoE-Chat,37.71,34.73,59.29,29.71,39.35,62.19,0.99,"chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,False,apache-2.0,6.43,0.0,False,2d786c9077b949d7ee3f5201813d7edccc7bd2da,False,True
🔶,aihub-app/zyte-1.1b,37.7,37.54,60.82,24.57,39.46,62.04,1.74,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,?,1.1,0.0,False,3d4e61bc3c090a28355cceba8da106c31e3bbb84,False,False
💬,ericzzz/falcon-rw-1b-instruct-openorca,37.63,34.56,60.93,28.77,37.42,60.69,3.41,"chat models (RLHF, DPO, IFT, ...)",FalconForCausalLM,Original,bfloat16,False,apache-2.0,1.31,10.0,True,bb5f86170d8d01aa850bb216bb2797899570c13e,False,False
🤝,RESMPDEV/Gemma-Wukong1.1-2b,37.61,33.45,42.39,42.52,47.73,59.59,0.0,base merges and moerges,GemmaForCausalLM,Original,bfloat16,False,other,2.4,0.0,False,0a04dcf420eb4b1c8ed5eb58afc9cf813b639d0d,False,False
🔶,euclaise/falcon_1b_stage2,37.59,35.49,65.56,23.83,38.32,62.35,0.0,fine-tuned on domain-specific datasets,FalconForCausalLM,Original,float16,False,apache-2.0,1.0,3.0,True,c3ef73a8c9dc06fae4bfe4460d2f293147aecbb0,False,False
🔶,ikala/bloom-zh-3b-chat,37.58,38.82,54.71,31.62,41.25,58.64,0.45,fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,False,bigscience-openrail-m,3.0,11.0,True,4ea0ad223a2623fc15e8824c1c4f8e6539bc40b0,False,False
🔶,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,37.55,36.43,61.41,25.01,37.59,64.64,0.23,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,7.0,4.0,True,fdc6ff469295d0aaabec8948525b70d6688728ac,False,False
💬,Evaloric/Evaloric-1.1B,37.54,35.07,60.93,25.36,37.78,64.96,1.14,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,?,1.1,0.0,False,b3953afa698098e06e03aa14713015b11b4ab421,False,False
🔶,TheBloke/CodeLlama-13B-Python-fp16,37.52,33.19,44.5,25.94,43.99,67.4,10.08,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,13.02,25.0,True,442282f4207442b828953a72c51a919c332cba5c,False,False
💬,ddyuudd/merge_dolly-v2-3b_dpo_test,37.49,40.02,65.14,24.99,33.3,59.35,2.12,"chat models (RLHF, DPO, IFT, ...)",GPTNeoXForCausalLM,Original,float16,False,mit,3.0,0.0,True,e624fdbb538362206af1b98400bf44bbc0247226,False,False
💬,HiTZ/GoLLIE-7B,37.48,36.09,57.93,29.38,39.27,58.96,3.26,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,llama2,7.0,15.0,True,d3e41fef45f6a7d438c46ba7d9fce5d0d486c7a9,False,False
🟩,gemmathon/gemma-2b-ko-dev-pbmt192,37.47,38.57,52.95,28.71,42.54,58.56,3.49,continuously pretrained,GemmaForCausalLM,Original,float16,False,other,2.51,0.0,True,856bd740a9c014e7dfc7233dbe6b9083f44ac8a5,False,False
🔶,ddyuudd/dolly-v2-3b,37.46,39.68,65.04,25.09,33.8,59.12,2.05,fine-tuned on domain-specific datasets,GPTNeoXForCausalLM,Original,float16,False,mit,2.78,0.0,True,84519fd8b688e7e1c122b5d9338c225a7ff2cadc,False,False
🟢,OEvortex/vortex-3b-v2,37.46,39.68,65.04,25.09,33.8,59.12,2.05,pretrained,GPTNeoXForCausalLM,Original,float16,False,other,2.78,2.0,True,fff79b81d767be1830b8f9887f1c084b8636711a,False,False
🔶,RESMPDEV/Gemma-Wukong1.1-2b,37.46,33.45,42.42,42.94,47.7,58.25,0.0,fine-tuned on domain-specific datasets,GemmaForCausalLM,Original,float16,False,other,2.4,0.0,False,0a04dcf420eb4b1c8ed5eb58afc9cf813b639d0d,False,False
🔶,KoboldAI/fairseq-dense-2.7B,37.41,33.79,65.74,26.44,34.57,63.93,0.0,fine-tuned on domain-specific datasets,XGLMForCausalLM,Original,float16,False,,2.78,3.0,False,4201f4b101bad2992efc8452009317a354ec52d2,False,False
🔶,Evaloric/Evaloric-1.1B-V.0.1,37.41,36.86,61.9,23.96,35.4,63.46,2.88,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,False,4cfcbf3aabd60fdeff47e013c40c0dc211f68ddb,False,False
🟢,cerebras/Cerebras-GPT-13B,37.4,38.14,60.01,25.92,39.19,59.83,1.29,pretrained,GPT2Model,Original,float16,False,apache-2.0,13.0,636.0,True,7e97fa4b15edd955094c4395d62e6f4290e365b5,False,False
🔶,ndavidson/cisco-iNAM-1.1B,37.39,36.01,60.74,26.39,39.3,60.46,1.44,fine-tuned on domain-specific datasets,?,Adapter,float16,False,apache-2.0,1.1,0.0,True,c1949425f65e6160efec2a0237397f85d9e94fb0,False,False
💬,gardner/TinyLlama-1.1B-SlimOrca-Function-Calling-3T,37.38,36.09,59.66,28.21,36.74,59.12,4.47,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,0.0,False,df79003585fb9af2ac4644a9029c70d5a998a95e,False,False
💬,l3utterfly/tinyllama-1.1b-layla-v4,37.37,34.81,61.25,25.53,38.97,61.48,2.2,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,1.0,True,3d3e70c293cb0ad0ff271f8b959e5da6005aafa8,False,False
💬,ericzzz/falcon-rw-1b-chat,37.37,35.58,61.12,24.51,39.62,61.72,1.67,"chat models (RLHF, DPO, IFT, ...)",FalconForCausalLM,Original,bfloat16,False,apache-2.0,1.31,3.0,True,61c2b3f27c8d32912d0b9ff47ebf687af2eb9e86,False,False
💬,frankenmerger/MiniLlama-1.8b-Chat-v0.1,37.37,34.73,62.38,25.69,38.97,60.54,1.9,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.89,0.0,True,a880960de7a6340e68ebd92004430eaee3a6890b,False,False
💬,dball/zephyr-tiny-dpo-qlora,37.35,36.6,61.66,25.78,36.4,61.56,2.12,"chat models (RLHF, DPO, IFT, ...)",?,Adapter,float16,False,apache-2.0,0.0,0.0,True,6c6f2246d4db07605b714f956f5e48878049b7b6,False,False
🟢,Dampish/StellarX-4B-V0,37.31,36.95,61.9,26.85,34.3,63.85,0.0,pretrained,GPTNeoXForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,4.0,1.0,True,0a79832bd57a8cdadc61626fb77bdc26c85b9fa4,False,False
🔶,ShieldX/manovyadh-1.1B-v1-chat,37.3,35.92,60.03,25.82,39.17,61.09,1.74,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,1.0,True,32dbae5401c03792f275d7f079be568002eafd9a,False,False
🔶,TinyLlama/TinyLlama-1.1B-Chat-v1.0,37.28,36.09,61.1,25.39,37.48,61.25,2.35,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,888.0,True,de253fa9783f8bd558c9ed398c8ffbe3c55cedb3,False,False
?,TheBloke/WizardLM-30B-Uncensored-GPTQ,37.27,29.44,26.47,24.35,49.15,73.16,21.08,,LlamaForCausalLM,Original,float16,False,other,35.58,118.0,True,43c701ddbe0bceac26c860307e06763cc5203500,False,False
🔶,DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test1,37.27,38.65,63.53,25.16,36.07,60.14,0.08,fine-tuned on domain-specific datasets,Unknown,Adapter,8bit,False,apache-2.0,3.0,0.0,False,f477d24b00e05fe4c5f8d5f933080994cfd90e4e,False,False
?,GeorgiaTechResearchInstitute/galactica-6.7b-evol-instruct-70k,37.27,42.58,49.3,32.96,42.1,56.27,0.38,,OPTForCausalLM,Original,float16,False,cc-by-nc-4.0,6.7,19.0,True,14fa470051d0bc38fd871643186a9edfd3a8a9aa,False,False
🔶,venkycs/ZySec-1B,37.26,38.4,61.53,25.05,35.66,61.33,1.59,fine-tuned on domain-specific datasets,?,Adapter,float16,False,apache-2.0,1.0,0.0,False,4a0f6267424e62319a8c0516af377bf576d9e210,False,False
🔶,euclaise/falcon_1b_stage1,37.25,35.15,62.4,24.47,40.0,61.48,0.0,fine-tuned on domain-specific datasets,FalconForCausalLM,Original,bfloat16,False,apache-2.0,1.0,0.0,True,f85d91ff3f6cadc93f7222a19b9c4930c8842366,False,False
🔶,Josephgflowers/Tinyllama-Cinder-1.3B-Reason-Test.2,37.25,32.76,58.27,24.39,39.0,65.04,4.02,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,mit,1.28,0.0,True,4c049680e43aa4fdab117c7a440b83efb4560ef5,False,False
🟢,AI-Sweden-Models/gpt-sw3-6.7b,37.23,36.35,60.75,26.0,39.04,60.69,0.53,pretrained,GPT2LMHeadModel,Original,bfloat16,False,other,7.11,0.0,True,7b20cb87e793e1b73b6a73da5261c6010f2b5410,False,False
🤝,Josephgflowers/TinyLlama-3T-Cinder-v1.3,37.23,33.96,58.14,25.41,38.13,63.93,3.79,base merges and moerges,LlamaForCausalLM,Original,float16,False,mit,1.1,3.0,True,4cd25191268b231cb584c85ce55285902c9fa31a,False,False
💬,Trelis/TinyLlama-chat-SFT,37.21,34.47,61.03,25.77,39.29,61.25,1.44,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,0.0,True,cad981584d4be97aa49353082af8a771e20e2c3b,False,False
💬,sreeramajay/TinyLlama-1.1B-orca-v1.0,37.17,36.35,61.23,25.18,36.58,61.4,2.27,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,True,7dbbc8ccc85c1c3f1ce7cffbb62b97ca6d2ca046,False,False
🔶,TinyLlama/TinyLlama-1.1B-Chat-v1.0,37.17,35.92,61.11,25.0,37.38,61.17,2.43,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,888.0,True,de253fa9783f8bd558c9ed398c8ffbe3c55cedb3,False,False
🔶,eren23/DistiLabelOrca-TinyLLama-1.1B,37.17,36.18,61.15,25.09,38.05,60.85,1.67,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,2.0,True,c8fa674a68fe45f8f87a6aef87c8e2cbcee62b81,False,False
🔶,AIGym/TinyLlama-1.1B-2.5T-chat-and-function-calling,37.16,34.39,59.61,26.32,38.92,61.96,1.74,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,0.0,True,5dc9334f86c4d5eaa916edd02262416b54343fa8,False,False
🔶,kevin009/lamatama,37.15,36.35,61.12,24.72,37.67,60.77,2.27,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,0.0,True,bb8349cd64652df9a62bc46c12c24f3226662a5c,False,False
🤝,OEvortex/HelpingAI-Lite-2x1B,37.15,36.09,61.11,25.1,37.39,60.85,2.35,base merges and moerges,MixtralForCausalLM,Original,bfloat16,False,other,1.86,2.0,True,d7795c76cf4591e0360afbfe956a4146a5834bfc,False,True
🔶,princeton-nlp/Sheared-LLaMA-1.3B-ShareGPT,37.14,33.96,62.55,26.42,43.03,56.83,0.08,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.3,9.0,True,d2f3cfae7746c4ff07353b39828985ea0f36b07d,False,False
🔶,aloobun/d-Qwen1.5-1.8B,37.14,30.89,49.73,37.92,42.89,59.19,2.2,fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,False,other,1.84,0.0,False,12eb58c7ddc17a6eddf5c52a3d9793e1e35464b8,False,False
🔶,Danielbrdz/Barcenas-Tiny-1.1b-DPO,37.12,36.26,61.2,24.83,37.45,60.93,2.05,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,True,871b3e79f0fe988e2dc601c5e062d612ce17b129,False,False
🟢,EleutherAI/pythia-2.7b,37.09,37.37,60.74,25.86,35.4,62.12,1.06,pretrained,Unknown,Original,float16,False,?,2.91,0.0,False,b9d8cace80b1a97f5ed380711aea31f2d1b24310,False,False
🔶,Deathsquad10/TinyLlama-repeat,37.09,35.24,60.25,26.07,38.78,60.46,1.74,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,True,14728ff7c51471faec92a4c86261951cc4175f61,False,False
💬,davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,37.09,35.84,61.29,25.05,37.38,61.01,1.97,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,True,da2b792b7edf3d30b6e8ed05ebc8e9bbde442b5c,False,False
🟢,tiiuae/falcon-rw-1b,37.07,35.07,63.56,25.28,35.96,62.04,0.53,pretrained,FalconForCausalLM,Original,float16,False,apache-2.0,1.0,96.0,True,e4b9872bb803165eb22f0a867d4e6a64d34fce19,False,False
🔶,Phind/Phind-CodeLlama-34B-v1,37.06,27.13,28.28,28.94,44.94,72.61,20.47,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,llama2,34.0,321.0,True,b073c9bb418ae52ca76b4ab48ac2dfbc8622f434,False,False
💬,kalisai/Nusantara-1.8b-Indo-Chat,37.06,35.32,56.32,30.37,37.27,59.75,3.34,"chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,False,apache-2.0,1.84,0.0,True,9b92b6cc3f4b3769886aac151edeef9990dcec4b,False,False
🔶,xaviviro/OpenHermes-2.5-FLOR-6.3B,37.04,33.45,54.53,25.18,46.12,62.98,0.0,fine-tuned on domain-specific datasets,BloomForCausalLM,Original,bfloat16,False,apache-2.0,6.3,1.0,True,1ac3215a61b2e11010230d52a6153635def819e6,False,False
🔶,Josephgflowers/TinyLlama-Cinder-1.3B-Test.2,37.04,33.7,58.66,25.69,37.98,64.09,2.12,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,mit,1.28,0.0,True,8ef75bb502bcafe83a03fe7154e302ea6de185df,False,False
?,bigscience/bloomz-3b,37.03,36.86,54.95,32.91,40.34,57.14,0.0,,BloomForCausalLM,Original,float16,False,bigscience-bloom-rail-1.0,3.0,74.0,True,31eefcb2bcd69632925adf07e090debafe95436d,False,False
💬,kevin009/TinyNaughtyLlama-v1.0,37.03,35.92,61.04,25.82,36.77,60.22,2.43,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,1.0,True,0ed70fbd1075c6f62cf9227023a67dd832e2b710,False,False
🔶,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo,37.03,34.39,61.87,26.34,36.13,63.46,0.0,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,1.0,True,f61da97b0c79b404f3dbe88f9379d1c918777338,False,False
🤝,Abhaykoul/HelpingAI-Lite-4x1b,37.02,35.84,61.0,25.24,37.39,60.77,1.9,base merges and moerges,MixtralForCausalLM,Original,float16,True,apache-2.0,3.38,0.0,True,e55836d41118de827f19cef1efc73f1cf1dd3abd,False,True
🔶,Aabbhishekk/TinyLlama-1.1B-miniguanaco,37.02,35.15,60.26,26.26,38.84,60.14,1.44,fine-tuned on domain-specific datasets,?,Original,float16,False,apache-2.0,1.1,0.0,True,e2495b16f1d812485842b199a026438e037f15f5,False,False
💬,codellama/CodeLlama-13b-Python-hf,37.0,32.59,43.94,27.23,44.59,65.04,8.64,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,4bit,False,llama2,13.02,46.0,True,ea1b775799b477fe22e64f8ac9107f28950b5c87,False,False
🔶,sbawa/elysa_model,37.0,37.54,60.37,25.58,37.37,60.22,0.91,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,False,f57eba56111fcea5f1438d31d05bc84ccb4fc51c,False,False
🔶,AIChenKai/TinyLlama-1.1B-Chat-v1.0-x2-MoE,36.98,36.01,61.04,24.81,37.37,60.38,2.27,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,1.86,1.0,True,fe49be7cae7eb8362e176e4d371fb9dd8c68422d,False,True
🔶,KoboldAI/OPT-2.7B-Erebus,36.96,34.39,60.91,26.7,37.82,61.64,0.3,fine-tuned on domain-specific datasets,OPTForCausalLM,Original,float16,False,other,2.7,37.0,True,39ca914ceb82f7f14a38484023bc04f0cd5d0a8d,False,False
🔶,jan-hq/LlamaCorn-1.1B,36.94,34.13,59.33,29.01,36.78,61.96,0.45,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,0.0,True,309e861eb3291666e9bd4e899fc95c8513beda4d,False,False
🔶,cmarkea/bloomz-3b-sft-chat,36.94,36.86,54.34,31.49,39.69,58.88,0.38,fine-tuned on domain-specific datasets,BloomForCausalLM,Original,bfloat16,False,bigscience-bloom-rail-1.0,3.0,10.0,True,a35b6ae6809891e253b45fb5795979c33992e548,False,False
🔶,AIGym/TinyLlama-1.1B-2.5T-chat,36.93,34.47,59.71,26.45,38.8,61.01,1.14,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,1.1,1.0,True,17ea96f8da6f61eee63fa430607e3974825a3218,False,False
💬,kevin009/babyllama-v0.6,36.92,36.09,61.59,25.37,35.84,61.01,1.59,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,creativeml-openrail-m,1.1,2.0,True,ea9e3e3d79df9769679c5a617ec755359338a425,False,False
🔶,Azure99/blossom-v1-3b,36.9,36.86,55.1,26.7,43.45,58.88,0.38,fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,False,apache-2.0,3.0,1.0,True,3235ee41e3793c98749b7bbd2bb80882a12ac889,False,False
💬,Phind/Phind-CodeLlama-34B-v2,36.89,24.57,27.6,25.76,48.37,71.82,23.2,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,llama2,34.0,762.0,True,949f61e203f91b412efe8f679c798f09f0ff4b0c,False,False
💬,codellama/CodeLlama-7b-Python-hf,36.89,31.31,52.86,27.32,42.21,63.06,4.55,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,4bit,False,llama2,6.74,120.0,True,ec4dd26f30674fdee00ef161b55f464ce28f9c20,False,False
💬,Rallio67/3B-redpajama-conditional-alpha,36.88,36.26,61.9,25.42,36.31,60.77,0.61,"chat models (RLHF, DPO, IFT, ...)",GPTNeoXForCausalLM,Original,float16,False,,3.0,1.0,False,7e2156c14b4b7981a4cd6db7b878888a98144df0,False,False
🔶,euclaise/falcon_1b_stage2,36.88,33.11,63.19,24.22,38.4,62.35,0.0,fine-tuned on domain-specific datasets,FalconForCausalLM,Original,bfloat16,False,apache-2.0,1.0,3.0,True,025c77e9ee457c6771c5a36dbacd064c269642a5,False,False
🔶,KoboldAI/OPT-2.7B-Nerybus-Mix,36.88,33.7,61.21,26.6,37.57,62.04,0.15,fine-tuned on domain-specific datasets,OPTForCausalLM,Original,float16,False,other,2.7,10.0,True,b4131723cfff1fa42f6cbab546c5b4bb0d19fd83,False,False
🔶,OpenBuddy/openbuddy-openllama-3b-v10-bf16,36.87,36.26,58.38,23.89,42.04,59.67,0.99,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,3.0,7.0,True,7f24d32de53aa4bc150f04ca2418604475173921,False,False
🔶,lqtrung1998/galactica-6.7b-ReFT-Rerank-GSM8k,36.86,41.13,48.78,32.86,41.2,56.91,0.3,fine-tuned on domain-specific datasets,OPTForSequenceClassification,Original,bfloat16,False,cc-by-nc-4.0,6.66,0.0,True,13f88bef7068492879a32eeee42597cc37fc727e,False,False
🔶,Josephgflowers/Tinyllama-1.3B-Cinder-Reason-Test-2,36.83,32.76,57.92,25.42,37.26,64.8,2.81,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,mit,1.28,0.0,True,3afb28f36d110d6520bb2f08baf40283babf1e9b,False,False
🔶,MysteriousAI/Mia-1B,36.82,35.75,61.02,25.43,36.92,60.38,1.44,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,False,4dd82435c7729b9dff8e02cadd2090c068f79073,False,False
🔶,l3utterfly/tinyllama-1.1b-layla-v1,36.82,34.39,59.86,24.7,41.03,59.75,1.21,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,1.1,0.0,True,a12aba8771fb310578d07a76c8666972e3ca21df,False,False
🔶,Writer/camel-5b-hf,36.81,35.15,57.62,26.07,40.65,61.01,0.38,fine-tuned on domain-specific datasets,GPT2LMHeadModel,Original,float16,False,apache-2.0,5.0,110.0,True,d1438e22a33b9115af0e47ab3a0fe844cbf588a6,False,False
🔶,appvoid/palmer-002,36.79,34.47,59.41,25.94,37.06,62.67,1.21,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,0.0,2.0,True,8b79b8c2126483baeb3a503c51cd4ffa9d7c11a6,False,False
🔶,TFLai/pythia-2.8b-4bit-alpaca,36.77,34.73,58.96,25.53,39.14,61.64,0.61,fine-tuned on domain-specific datasets,Unknown,Adapter,4bit,False,,2.8,1.0,False,40e84b6d38aac92a0302c2a682498794ef0fd901,False,False
